<PRE>                                                                                      
                                                                 Fant             Fant
Rk                    Player FantPt Season Age Team G GS FantPt   PPR FantPt PPR/G Pos
123            Jake Browning   29.0   2025  29  CIN 3  2   29.0  29.0   9.67  9.67  QB
124                Zach Ertz   28.9   2025  35  WAS 4  4   28.9  42.9   7.23 10.73  TE
125                 Cam Ward   28.8   2025  23  TEN 4  4   28.8  28.8   7.20  7.20  QB
126            Jake Ferguson   28.3   2025  26  DAL 4  3   28.3  62.3   7.08 15.58  TE
127         John Parker Romo   28.0   2025  28  ATL 3  0   28.0  28.0   9.33  9.33   K
128           Tyler Allgeier   27.9   2025  25  ATL 4  1   27.9  29.9   6.98  7.48  RB
129        Tetairoa McMillan   27.8   2025  22  CAR 4  4   27.8  45.8   6.95 11.45  WR
130         Jameson Williams   27.4   2025  24  DET 4  4   27.4  37.4   6.85  9.35  WR
131            Elic Ayomanor   27.1   2025  22  TEN 4  4   27.1  39.1   6.78  9.78  WR
132           Marquise Brown   26.9   2025  28  KAN 4  3   26.9  48.9   6.73 12.23  WR
133              Chase Brown   26.7   2025  25  CIN 4  4   26.7  37.7   6.68  9.43  RB
134            Troy Franklin   26.7   2025  22  DEN 4  3   26.7  44.7   6.68 11.18  WR
135                RJ Harvey   26.7   2025  24  DEN 4  1   26.7  35.7   6.68  8.93  RB
136               Kyle Pitts   26.5   2025  25  ATL 4  4   26.5  46.5   6.63 11.63  TE
137            Juwan Johnson   26.4   2025  29  NOR 4  4   26.4  48.4   6.60 12.10  TE
138             Keon Coleman   26.3   2025  22  BUF 4  4   26.3  43.3   6.58 10.83  WR
